"Alcoholic beverages and tobacco (x 1,000,000)",5928
"Alcoholic beverages and tobacco (x 1,000,000)",6159
"Alcoholic beverages and tobacco (x 1,000,000)",6570
"Alcoholic beverages and tobacco (x 1,000,000)",7097
"Alcoholic beverages and tobacco (x 1,000,000)",7541
"Alcoholic beverages and tobacco (x 1,000,000)",7425
"Alcoholic beverages and tobacco (x 1,000,000)",6775
"Alcoholic beverages and tobacco (x 1,000,000)",6810
"Alcoholic beverages and tobacco (x 1,000,000)",6657
"Alcoholic beverages and tobacco (x 1,000,000)",6432
"Alcoholic beverages and tobacco (x 1,000,000)",6074
"Alcoholic beverages and tobacco (x 1,000,000)",6391
"Alcoholic beverages and tobacco (x 1,000,000)",6115
"Alcoholic beverages and tobacco (x 1,000,000)",6308
"Alcoholic beverages and tobacco (x 1,000,000)",5982
"Alcoholic beverages and tobacco (x 1,000,000)",6356
"Alcoholic beverages and tobacco (x 1,000,000)",6840
"Alcoholic beverages and tobacco (x 1,000,000)",7382
"Alcoholic beverages and tobacco (x 1,000,000)",7690
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",9361
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",9590
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",10199
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",10456
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",11069
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",11265
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",11695
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",12720
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",13051
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",12880
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",12033
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",11838
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",10966
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",11274
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",11834
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",11792
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",12441
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",13060
"Furnishings, household equipment and other goods and services related to the dwelling and property (x 1,000,000)",13689
